id,text,label,prediction,reason,rule_signals,brief_analysis
500364250461003777,"So, to sum up: 1) Darren Wilson KNEW NOTHING of the robbery, 2) shot #MikeBrown over jaywalking, and 3) was allowed to escape #Ferguson.",1,1,The text is classified as rumor because it does not provide an explicit source or confirmation cue.,missing_reliable_source; social_media_context,Correct rumor case: the explanation highlights suspicious wording and missing source cues.
500277808883830784,"BREAKING: #Ferguson police chief just announced that officer Darren Wilson shot the unarmed teen, Michael Brown.",1,1,"The text is classified as rumor because it contains exaggerated, urgent, or emotionally provocative wording, such as breaking.",exaggeration_or_incitement; source_or_reporting; social_media_context,Correct rumor case: the explanation highlights suspicious wording and missing source cues.
500354853680340993,Boom RT @newsneighbor Why was #Ferguson PD still looking for the suspect 7 hours after Michael Brown had been killed? http://t.co/4TH5aFsge2,1,1,The text is classified as rumor because it does not provide an explicit source or confirmation cue.,missing_reliable_source; social_media_context,Correct rumor case: the explanation highlights suspicious wording and missing source cues.
499571799764770816,People of #Ferguson: Stop #attacking our brave #heroes! -- http://t.co/DfxchWSDBM,0,0,"The text is classified as non-rumor because it does not show strong urgent, absolute, speculative, or rumor-pattern wording; and it uses social-media markers (link, hashtag) that should be checked against external evidence.",missing_reliable_source; social_media_context,Correct non-rumor case: the explanation highlights weaker rumor cues or clearer reporting cues.
499672226887897089,RT @freegcf: RT @organizemo: @OpFerguson PLS RT! Jail support info for ppl arrested at #mikebrown rallies. #ferguson http://t.co/GRJvO1dAlp,0,0,"The text is classified as non-rumor because it does not show strong urgent, absolute, speculative, or rumor-pattern wording; and it uses social-media markers (link, hashtag) that should be checked against external evidence.",missing_reliable_source; social_media_context,Correct non-rumor case: the explanation highlights weaker rumor cues or clearer reporting cues.
500360889347096576,so ... they clearly released that video  only to shame &amp; blame the victim. #Ferguson #MikeBrown,1,0,The text is classified as non-rumor because it uses social-media markers (hashtag) that should be checked against external evidence.,absolute_wording; missing_reliable_source; social_media_context,"False negative case: the text may lack obvious rumor cues, so the model underestimates its risk."
499553593041903616,BREAKING: #Anonymous has obtained audio files of police dispatch and EMS during the #MikeBrown shooting. Will release ASAP. #Ferguson,1,0,The text is classified as non-rumor because it uses social-media markers (hashtag) that should be checked against external evidence.,exaggeration_or_incitement; missing_reliable_source; rumor_pattern; social_media_context,"False negative case: the text may lack obvious rumor cues, so the model underestimates its risk."
499703156889362432,#BREAKING: State Senator Maria Chapelle Nadal has been taken into police custody; she had been tear-gassed at an earlier protest. #Ferguson,0,1,"The text is classified as rumor because it contains exaggerated, urgent, or emotionally provocative wording, such as breaking; and it does not provide an explicit source or confirmation cue.",exaggeration_or_incitement; missing_reliable_source; social_media_context,False positive case: social-media style or emotional wording may have made a non-rumor look rumor-like.
580327576218046464,BREAKING NEWS: Germanwings flight GWI18G crashes in French Alps: http://t.co/v8yssTEbHR http://t.co/GA8ZdGUq30,0,1,"The text is classified as rumor because it contains exaggerated, urgent, or emotionally provocative wording, such as breaking; and it does not provide an explicit source or confirmation cue.",exaggeration_or_incitement; missing_reliable_source; social_media_context,False positive case: social-media style or emotional wording may have made a non-rumor look rumor-like.
580361142666563584,Helicopters and emergency vehicles are arriving in southern France. #Germanwings http://t.co/2Ry7Itpo4L,0,1,The text is classified as rumor because it does not provide an explicit source or confirmation cue.,missing_reliable_source; social_media_context,False positive case: social-media style or emotional wording may have made a non-rumor look rumor-like.
